Location,Treatment,Treatment_Value,Age,Gender/Race,Outcome,Outcome_Value
NA,Vegetables,47.65720079132218,AGE_OVERALL,FEMALE,Depression,52.422920870454405
NA,Vegetables,52.281640814263945,5064,HIS,Depression,57.509804895690344
NA,Vegetables,44.1152990242439,AGE_OVERALL,WHT,Depression,48.526828926668294
NA,Vegetables,62.03277113574451,65PLUS,MALE,Depression,68.23604824931897
NA,Vegetables,56.099508849238234,5064,ASN,Depression,61.70945973416206
NA,Vegetables,45.332519120908955,5064,HIS,Depression,49.86577103299985
NA,Vegetables,38.69444260547324,65PLUS,WHT,Depression,42.56388686602057
NA,Vegetables,57.61108178291832,65PLUS,ASN,Depression,63.372189961210154
NA,Vegetables,72.43839782237714,5064,BLK,Depression,79.68223760461485
NA,Vegetables,52.58107575887134,5064,BLK,Depression,57.83918333475848
NA,Vegetables,44.32955064344177,AGE_OVERALL,HIS,Depression,48.76250570778595
NA,Vegetables,53.046920289887765,65PLUS,FEMALE,Depression,58.35161231887655
NA,Vegetables,45.556644373567735,AGE_OVERALL,FEMALE,Depression,50.11230881092451
NA,Vegetables,54.00276943353234,65PLUS,MALE,Depression,59.403046376885584
NA,Vegetables,51.268419275608814,5064,BLK,Depression,56.3952612031697
NA,Vegetables,68.40396012398953,AGE_OVERALL,HIS,Depression,75.24435613638849
NA,Vegetables,44.42643817288742,5064,WHT,Depression,48.86908199017617
NA,Vegetables,37.87748384004895,AGE_OVERALL,BLK,Depression,41.66523222405385
NA,Vegetables,58.65014124364848,AGE_OVERALL,NAA,Depression,64.51515536801332
NA,Vegetables,44.22063223837567,65PLUS,NAA,Depression,48.64269546221324
NA,Vegetables,74.95042231144689,AGE_OVERALL,FEMALE,Depression,82.44546454259158
NA,Vegetables,51.01426401254496,65PLUS,FEMALE,Depression,56.11569041379946
NA,Vegetables,60.041558911239036,AGE_OVERALL,BLK,Depression,66.04571480236295
NA,Vegetables,57.60117713990576,5064,WHT,Depression,63.36129485389634
NA,Vegetables,46.88582714222579,AGE_OVERALL,MALE,Depression,51.574409856448376
NA,Vegetables,45.71402920677338,AGE_OVERALL,BLK,Depression,50.285432127450726
NA,Vegetables,66.58620024957202,5064,NAA,Depression,73.24482027452922
NA,Vegetables,54.892417952353725,65PLUS,MALE,Depression,60.381659747589104
NA,Vegetables,58.485688492228235,5064,WHT,Depression,64.33425734145106
NA,Vegetables,60.06503562406161,5064,FEMALE,Depression,66.07153918646777
NA,Vegetables,64.73841586175888,65PLUS,OVERALL,Depression,71.21225744793477
NA,Vegetables,62.5175226858154,65PLUS,BLK,Depression,68.76927495439695
NA,Vegetables,37.08405588470285,5064,BLK,Depression,40.792461473173134
NA,Vegetables,61.22062171539413,AGE_OVERALL,FEMALE,Depression,67.34268388693354
NA,Vegetables,49.77037325447277,5064,BLK,Depression,54.74741057992006
NA,Vegetables,55.82017366427391,5064,HIS,Depression,61.4021910307013
NA,Vegetables,57.3403551162198,65PLUS,WHT,Depression,63.07439062784178
NA,Vegetables,42.778673999607264,5064,MALE,Depression,47.056541399568
NA,Vegetables,55.737578001669284,5064,WHT,Depression,61.311335801836215
NA,Vegetables,43.456646120606806,AGE_OVERALL,BLK,Depression,47.80231073266749
NA,Vegetables,46.09317821244025,AGE_OVERALL,HIS,Depression,50.70249603368428
NA,Vegetables,43.780987282921316,5064,FEMALE,Depression,48.159086011213454
NA,Vegetables,49.75302157490733,5064,HIS,Depression,54.72832373239807
NA,Vegetables,51.91484737773283,AGE_OVERALL,ASN,Depression,57.10633211550612
NA,Vegetables,56.79688137509774,5064,NAA,Depression,62.47656951260752
NA,Vegetables,42.17973948565729,AGE_OVERALL,BLK,Depression,46.39771343422302
NA,Vegetables,42.55933201792199,5064,BLK,Depression,46.81526521971419
NA,Vegetables,38.577353268219944,AGE_OVERALL,OVERALL,Depression,42.43508859504194
NA,Vegetables,51.80466951885624,AGE_OVERALL,NAA,Depression,56.985136470741864
NA,Vegetables,32.72670630011925,65PLUS,HIS,Depression,35.99937693013118
NA,Vegetables,32.74909822743149,5064,BLK,Depression,36.02400805017464
NA,Vegetables,65.99374680652947,65PLUS,NAA,Depression,72.59312148718243
NA,Vegetables,64.13795496936584,65PLUS,MALE,Depression,70.55175046630242
NA,Vegetables,26.809010347344984,AGE_OVERALL,MALE,Depression,29.489911382079484
NA,Vegetables,34.381957161624825,AGE_OVERALL,HIS,Depression,37.82015287778731
NA,Vegetables,47.67420693174197,AGE_OVERALL,NAA,Depression,52.44162762491617
NA,Vegetables,54.2105476219465,65PLUS,MALE,Depression,59.63160238414116
NA,Vegetables,54.7347341663661,5064,MALE,Depression,60.20820758300272
NA,Vegetables,24.207270681860646,5064,WHT,Depression,26.627997750046713
NA,Vegetables,43.972131403608884,AGE_OVERALL,FEMALE,Depression,48.369344543969774
NA,Vegetables,32.45463337171922,5064,NAA,Depression,35.700096708891145
NA,Vegetables,39.63062869473212,5064,NAA,Depression,43.59369156420533
NA,Vegetables,61.398697265465486,65PLUS,ASN,Depression,67.53856699201204
NA,Vegetables,59.76391272079096,65PLUS,OVERALL,Depression,65.74030399287007
NA,Vegetables,66.176258283643,AGE_OVERALL,FEMALE,Depression,72.7938841120073
NA,Vegetables,46.98566462467,AGE_OVERALL,HIS,Depression,51.68423108713701
NA,Vegetables,43.87381552544694,AGE_OVERALL,OVERALL,Depression,48.26119707799164
NA,Vegetables,30.980444509690756,65PLUS,NAA,Depression,34.07848896065983
NA,Vegetables,50.675829826632715,AGE_OVERALL,FEMALE,Depression,55.74341280929599
NA,Vegetables,39.47958569720369,65PLUS,ASN,Depression,43.42754426692406
NA,Vegetables,58.45895879266702,AGE_OVERALL,OVERALL,Depression,64.30485467193373
NA,Vegetables,35.69756351998422,5064,ASN,Depression,39.26731987198265
NA,Vegetables,38.46752406065896,65PLUS,BLK,Depression,42.314276466724856
NA,Vegetables,37.21049611030301,65PLUS,MALE,Depression,40.931545721333315
NA,Vegetables,47.82610184069041,5064,FEMALE,Depression,52.608712024759456
NA,Vegetables,60.39786442356713,5064,HIS,Depression,66.43765086592384
NA,Vegetables,54.14098260270232,65PLUS,NAA,Depression,59.55508086297256
NA,Vegetables,32.36564130581159,65PLUS,NAA,Depression,35.60220543639276
NA,Vegetables,59.17022409525653,AGE_OVERALL,ASN,Depression,65.08724650478219
NA,Vegetables,29.379588419378283,AGE_OVERALL,ASN,Depression,32.317547261316115
NA,Vegetables,33.7202292077063,AGE_OVERALL,WHT,Depression,37.092252128476936
NA,Vegetables,51.773814417875634,AGE_OVERALL,FEMALE,Depression,56.9511958596632
NA,Vegetables,42.03910952694786,5064,BLK,Depression,46.24302047964265
NA,Vegetables,26.18698469327733,65PLUS,FEMALE,Depression,28.805683162605067
NA,Vegetables,63.44378530823652,65PLUS,WHT,Depression,69.78816383906018
NA,Vegetables,54.042786953632756,5064,ASN,Depression,59.44706564899604
NA,Vegetables,54.23065170226077,AGE_OVERALL,OVERALL,Depression,59.653716872486854
NA,Vegetables,58.93616382383627,65PLUS,ASN,Depression,64.8297802062199
NA,Vegetables,66.04330322983482,5064,OVERALL,Depression,72.6476335528183
NA,Vegetables,44.924834280911675,5064,FEMALE,Depression,49.417317709002845
NA,Vegetables,57.67246920052177,65PLUS,OVERALL,Depression,63.43971612057395
NA,Vegetables,68.1038927456337,AGE_OVERALL,OVERALL,Depression,74.91428202019708
NA,Vegetables,50.017104225833435,5064,OVERALL,Depression,55.018814648416786
NA,Vegetables,56.103457244845984,65PLUS,FEMALE,Depression,61.71380296933059
NA,Vegetables,48.143819445299584,5064,ASN,Depression,52.95820138982955
NA,Vegetables,56.45169837379401,AGE_OVERALL,NAA,Depression,62.096868211173415
NA,Vegetables,42.82465596354366,5064,ASN,Depression,47.10712155989803
NA,Vegetables,63.883667270368925,65PLUS,MALE,Depression,70.27203399740583
NA,Vegetables,47.66452672104499,AGE_OVERALL,WHT,Depression,52.4309793931495
NA,Vegetables,57.786603157303375,5064,OVERALL,Depression,63.56526347303372
NA,Vegetables,39.08657587802779,65PLUS,ASN,Depression,42.995233465830566
NA,Vegetables,46.93672832309002,AGE_OVERALL,HIS,Depression,51.63040115539903
NA,Vegetables,50.283985261677955,65PLUS,OVERALL,Depression,55.312383787845754
NA,Vegetables,48.98378488392148,5064,NAA,Depression,53.882163372313634
NA,Vegetables,47.69215872223765,5064,NAA,Depression,52.46137459446142
NA,Vegetables,44.56490744278871,65PLUS,WHT,Depression,49.02139818706758
NA,Vegetables,56.06427332446039,65PLUS,FEMALE,Depression,61.67070065690643
NA,Vegetables,61.80957392754833,5064,MALE,Depression,67.99053132030316
NA,Vegetables,53.09226656148402,5064,HIS,Depression,58.40149321763242
NA,Vegetables,44.517366435031676,AGE_OVERALL,MALE,Depression,48.96910307853485
NA,Vegetables,51.070315389566446,5064,FEMALE,Depression,56.17734692852309
NA,Vegetables,52.04557405909915,5064,BLK,Depression,57.25013146500907
NA,Vegetables,25.19651097291437,5064,HIS,Depression,27.71616207020581
NA,Vegetables,59.86744581253908,65PLUS,HIS,Depression,65.85419039379299
NA,Vegetables,45.51153524793449,5064,HIS,Depression,50.062688772727945
NA,Vegetables,47.323422702180984,65PLUS,HIS,Depression,52.05576497239909
NA,Vegetables,48.13433586442452,AGE_OVERALL,NAA,Depression,52.94776945086698
NA,Vegetables,58.14146552689247,5064,MALE,Depression,63.95561207958172
NA,Vegetables,59.7370452366019,5064,ASN,Depression,65.71074976026209
NA,Vegetables,48.82838957893586,AGE_OVERALL,MALE,Depression,53.71122853682945
NA,Vegetables,61.48739378107731,AGE_OVERALL,MALE,Depression,67.63613315918505
NA,Vegetables,50.99407780081174,5064,MALE,Depression,56.09348558089292
NA,Vegetables,45.142667944288455,AGE_OVERALL,ASN,Depression,49.656934738717304
NA,Vegetables,51.36274412228273,65PLUS,ASN,Depression,56.499018534511
NA,Vegetables,41.56820811159791,65PLUS,MALE,Depression,45.72502892275771
NA,Vegetables,51.47079457932129,65PLUS,OVERALL,Depression,56.61787403725343
NA,Vegetables,52.166608811531276,5064,OVERALL,Depression,57.38326969268441
NA,Vegetables,52.32145974087146,5064,WHT,Depression,57.553605714958614
NA,Vegetables,45.9387149757856,65PLUS,HIS,Depression,50.53258647336416
NA,Vegetables,53.715153834067905,65PLUS,HIS,Depression,59.0866692174747
NA,Vegetables,57.94291578080122,AGE_OVERALL,ASN,Depression,63.73720735888135
NA,Vegetables,57.466838887021126,65PLUS,NAA,Depression,63.21352277572324
NA,Vegetables,48.62482285173978,65PLUS,OVERALL,Depression,53.48730513691376
NA,Vegetables,42.706387043716454,AGE_OVERALL,ASN,Depression,46.9770257480881
NA,Vegetables,44.58658559812311,AGE_OVERALL,BLK,Depression,49.04524415793542
NA,Vegetables,60.3563089758597,5064,WHT,Depression,66.39193987344568
NA,Vegetables,67.04975980726613,5064,NAA,Depression,73.75473578799274
NA,Vegetables,74.63123927579876,AGE_OVERALL,HIS,Depression,82.09436320337865
NA,Vegetables,30.947075480285,AGE_OVERALL,FEMALE,Depression,34.0417830283135
NA,Vegetables,57.20066900376797,65PLUS,MALE,Depression,62.92073590414477
NA,Vegetables,57.12326592491775,65PLUS,NAA,Depression,62.83559251740953
NA,Vegetables,61.59801410843935,65PLUS,MALE,Depression,67.7578155192833
NA,Vegetables,57.33545408782827,AGE_OVERALL,HIS,Depression,63.0689994966111
NA,Vegetables,56.41622089292166,65PLUS,OVERALL,Depression,62.05784298221383
NA,Vegetables,61.348660712961944,AGE_OVERALL,OVERALL,Depression,67.48352678425815
NA,Vegetables,53.755378458467604,5064,BLK,Depression,59.13091630431437
NA,Vegetables,36.65437083300713,65PLUS,MALE,Depression,40.319807916307845
NA,Vegetables,66.30349521970109,5064,WHT,Depression,72.93384474167121
NA,Vegetables,47.735052966448144,65PLUS,HIS,Depression,52.508558263092965
NA,Vegetables,61.578963531319275,AGE_OVERALL,OVERALL,Depression,67.7368598844512
NA,Vegetables,64.01819890245505,5064,BLK,Depression,70.42001879270056
NA,Vegetables,59.50855410906111,65PLUS,NAA,Depression,65.45940951996722
NA,Vegetables,47.403560274225306,65PLUS,BLK,Depression,52.14391630164784
NA,Vegetables,45.92225007491184,5064,ASN,Depression,50.514475082403024
NA,Vegetables,58.88168156201864,5064,OVERALL,Depression,64.76984971822051
NA,Vegetables,52.034865209945266,AGE_OVERALL,MALE,Depression,57.2383517309398
NA,Vegetables,42.794535573687455,AGE_OVERALL,WHT,Depression,47.0739891310562
NA,Vegetables,52.086146200144775,AGE_OVERALL,BLK,Depression,57.294760820159254
NA,Vegetables,53.41183667938817,65PLUS,MALE,Depression,58.753020347326995
NA,Vegetables,39.99924443933543,65PLUS,OVERALL,Depression,43.99916888326897
NA,Vegetables,44.72199790251157,5064,NAA,Depression,49.19419769276273
NA,Vegetables,57.43842167904728,65PLUS,FEMALE,Depression,63.18226384695201
NA,Vegetables,38.0320219439149,5064,FEMALE,Depression,41.835224138306394
NA,Vegetables,44.34464447448536,AGE_OVERALL,MALE,Depression,48.7791089219339
NA,Vegetables,36.85149773011606,65PLUS,ASN,Depression,40.53664750312767
NA,Vegetables,72.71494638569841,65PLUS,OVERALL,Depression,79.98644102426826
NA,Vegetables,25.160174790564223,65PLUS,HIS,Depression,27.67619226962065
NA,Vegetables,49.76754508915655,AGE_OVERALL,NAA,Depression,54.74429959807221
NA,Vegetables,47.26630429942922,AGE_OVERALL,BLK,Depression,51.99293472937215
NA,Vegetables,33.24226597079619,AGE_OVERALL,BLK,Depression,36.56649256787581
NA,Vegetables,59.484502174337365,AGE_OVERALL,FEMALE,Depression,65.43295239177111
NA,Vegetables,70.01615195206556,5064,HIS,Depression,77.01776714727212
NA,Vegetables,38.976963076778866,AGE_OVERALL,BLK,Depression,42.874659384456756
NA,Vegetables,61.953951389402455,AGE_OVERALL,WHT,Depression,68.1493465283427
NA,Vegetables,34.03877078250331,5064,HIS,Depression,37.442647860753645
NA,Vegetables,34.24040741564737,AGE_OVERALL,BLK,Depression,37.66444815721211
NA,Vegetables,44.47363789451613,65PLUS,OVERALL,Depression,48.921001683967745
NA,Vegetables,53.29496175339575,AGE_OVERALL,FEMALE,Depression,58.624457928735325
NA,Vegetables,54.765532744539584,65PLUS,HIS,Depression,60.24208601899355
NA,Vegetables,48.71660693312166,65PLUS,ASN,Depression,53.58826762643383
NA,Vegetables,53.218214705249984,65PLUS,FEMALE,Depression,58.540036175774986
NA,Vegetables,43.351835158440835,65PLUS,NAA,Depression,47.68701867428492
NA,Vegetables,37.194693318282795,5064,ASN,Depression,40.91416265011108
NA,Vegetables,60.126402384868456,AGE_OVERALL,HIS,Depression,66.13904262335531
NA,Vegetables,51.55956028859881,AGE_OVERALL,WHT,Depression,56.71551631745869
NA,Vegetables,40.203971457124055,65PLUS,ASN,Depression,44.22436860283646
NA,Vegetables,58.11930897450563,AGE_OVERALL,BLK,Depression,63.931239871956194
NA,Vegetables,51.47258625006494,AGE_OVERALL,BLK,Depression,56.61984487507144
NA,Vegetables,57.686878399383524,65PLUS,HIS,Depression,63.45556623932188
NA,Vegetables,42.658287158976144,65PLUS,MALE,Depression,46.92411587487376
NA,Vegetables,39.425567509815274,65PLUS,NAA,Depression,43.368124260796804
NA,Vegetables,28.24844407557309,65PLUS,NAA,Depression,31.0732884831304
NA,Vegetables,59.4417640401291,5064,WHT,Depression,65.38594044414202
NA,Vegetables,53.8921146507363,5064,FEMALE,Depression,59.28132611580994
NA,Vegetables,52.148704698300065,65PLUS,NAA,Depression,57.363575168130076
NA,Vegetables,59.23848547808326,65PLUS,BLK,Depression,65.1623340258916
NA,Vegetables,56.95625867890978,65PLUS,NAA,Depression,62.65188454680076
NA,Vegetables,56.1816368661012,65PLUS,NAA,Depression,61.799800552711325
NA,Vegetables,67.71533382448868,5064,OVERALL,Depression,74.48686720693756
NA,Vegetables,40.615198138762096,5064,FEMALE,Depression,44.67671795263831
NA,Vegetables,53.682534161374996,65PLUS,OVERALL,Depression,59.0507875775125
NA,Vegetables,65.8241247858226,AGE_OVERALL,OVERALL,Depression,72.40653726440488
NA,Vegetables,60.096793395277686,5064,HIS,Depression,66.10647273480546
NA,Vegetables,51.76247694581406,65PLUS,HIS,Depression,56.93872464039547
NA,Vegetables,59.30890748261361,5064,OVERALL,Depression,65.23979823087498
NA,Vegetables,43.78877708030778,65PLUS,OVERALL,Depression,48.16765478833857
NA,Vegetables,40.00594959323156,AGE_OVERALL,OVERALL,Depression,44.00654455255472
NA,Vegetables,43.71464631548184,65PLUS,HIS,Depression,48.08611094703003
NA,Vegetables,42.65412080465826,5064,HIS,Depression,46.91953288512409
NA,Vegetables,36.29091927429774,5064,BLK,Depression,39.92001120172752
NA,Vegetables,49.789677274647694,5064,MALE,Depression,54.76864500211247
NA,Vegetables,40.067717353727964,5064,HIS,Depression,44.074489089100766
NA,Vegetables,41.12550761640338,AGE_OVERALL,NAA,Depression,45.238058378043725
NA,Vegetables,51.66173346910594,5064,FEMALE,Depression,56.82790681601654
NA,Vegetables,56.27632870424021,AGE_OVERALL,NAA,Depression,61.90396157466423
NA,Vegetables,63.37328643922896,AGE_OVERALL,NAA,Depression,69.71061508315186
NA,Vegetables,49.09059866651117,AGE_OVERALL,NAA,Depression,53.99965853316229
NA,Vegetables,50.27383258523889,AGE_OVERALL,FEMALE,Depression,55.30121584376278
NA,Vegetables,50.70334557219085,65PLUS,MALE,Depression,55.77368012940994
NA,Vegetables,56.633010936119135,65PLUS,MALE,Depression,62.296312029731055
NA,Vegetables,55.47502206287833,AGE_OVERALL,FEMALE,Depression,61.02252426916617
NA,Vegetables,62.742934648633124,AGE_OVERALL,ASN,Depression,69.01722811349644
NA,Vegetables,49.29102252474838,5064,HIS,Depression,54.22012477722322
NA,Vegetables,45.88378890717862,AGE_OVERALL,BLK,Depression,50.47216779789648
NA,Vegetables,59.65974212918797,65PLUS,OVERALL,Depression,65.62571634210677
NA,Vegetables,62.940770971027035,5064,ASN,Depression,69.23484806812975
NA,Vegetables,58.04716270682076,AGE_OVERALL,NAA,Depression,63.851878977502835
NA,Vegetables,45.96079599787744,AGE_OVERALL,WHT,Depression,50.55687559766519
NA,Vegetables,62.647594537540805,5064,NAA,Depression,68.91235399129489
NA,Vegetables,40.245673919998495,AGE_OVERALL,BLK,Depression,44.27024131199835
NA,Vegetables,49.04828870213782,65PLUS,FEMALE,Depression,53.9531175723516
NA,Vegetables,54.72864271030269,65PLUS,FEMALE,Depression,60.20150698133296
NA,Vegetables,50.8851604047106,65PLUS,HIS,Depression,55.97367644518166
NA,Vegetables,58.82053146038102,65PLUS,HIS,Depression,64.70258460641912
NA,Vegetables,39.117467761580905,65PLUS,WHT,Depression,43.029214537739
NA,Vegetables,49.34788223290817,5064,FEMALE,Depression,54.28267045619899
NA,Vegetables,51.66026449519802,AGE_OVERALL,ASN,Depression,56.826290944717826
NA,Vegetables,46.56060274255525,5064,BLK,Depression,51.21666301681078
NA,Vegetables,65.97136241249976,AGE_OVERALL,BLK,Depression,72.56849865374974
NA,Vegetables,72.45292536984277,5064,FEMALE,Depression,79.69821790682705
NA,Vegetables,45.934080283502,65PLUS,OVERALL,Depression,50.5274883118522
NA,Vegetables,47.02574864969505,5064,WHT,Depression,51.72832351466456
NA,Vegetables,52.80279801004416,65PLUS,WHT,Depression,58.083077811048575
NA,Vegetables,54.98889112473786,65PLUS,HIS,Depression,60.48778023721165
NA,Vegetables,51.6412435031491,5064,MALE,Depression,56.80536785346401
NA,Vegetables,53.19409158250349,65PLUS,OVERALL,Depression,58.51350074075384
NA,Vegetables,39.99975012974444,AGE_OVERALL,FEMALE,Depression,43.99972514271889
NA,Vegetables,57.25931278653569,AGE_OVERALL,MALE,Depression,62.98524406518926
NA,Vegetables,50.17848619471914,5064,ASN,Depression,55.19633481419106
NA,Vegetables,45.08365234543216,AGE_OVERALL,ASN,Depression,49.592017579975376
NA,Vegetables,48.7356102304082,AGE_OVERALL,HIS,Depression,53.60917125344902
NA,Vegetables,52.32598016147675,AGE_OVERALL,WHT,Depression,57.558578177624426
NA,Vegetables,52.16687852230978,AGE_OVERALL,NAA,Depression,57.38356637454076
NA,Vegetables,21.768352984501632,5064,NAA,Depression,23.945188282951797
NA,Vegetables,43.041390071259016,AGE_OVERALL,MALE,Depression,47.34552907838492
NA,Vegetables,56.417324991473734,5064,HIS,Depression,62.059057490621115
NA,Vegetables,58.292062233291475,5064,OVERALL,Depression,64.12126845662063
NA,Vegetables,56.79651595167054,AGE_OVERALL,FEMALE,Depression,62.4761675468376
NA,Vegetables,30.971923316839575,AGE_OVERALL,BLK,Depression,34.069115648523535
NA,Vegetables,46.14724620736548,AGE_OVERALL,WHT,Depression,50.76197082810203
NA,Vegetables,60.075563633964975,5064,ASN,Depression,66.08311999736148
NA,Vegetables,37.90275142957799,5064,OVERALL,Depression,41.69302657253579
NA,Vegetables,46.66730197079123,65PLUS,MALE,Depression,51.334032167870355
NA,Vegetables,45.93079840517468,65PLUS,WHT,Depression,50.523878245692146
NA,Vegetables,24.998366490057286,65PLUS,BLK,Depression,27.498203139063015
NA,Vegetables,43.68104073927315,5064,OVERALL,Depression,48.04914481320047
NA,Vegetables,43.95429715705368,5064,NAA,Depression,48.34972687275905
NA,Vegetables,27.695796860428906,5064,NAA,Depression,30.4653765464718
NA,Vegetables,49.838404480971434,AGE_OVERALL,NAA,Depression,54.82224492906858
NA,Vegetables,32.40200209343854,5064,BLK,Depression,35.642202302782394
NA,Vegetables,61.81355091473535,AGE_OVERALL,OVERALL,Depression,67.9949060062089
NA,Vegetables,64.2237883532371,AGE_OVERALL,BLK,Depression,70.64616718856081
NA,Vegetables,50.545527455091566,5064,ASN,Depression,55.60008020060073
NA,Vegetables,48.0901589718392,5064,NAA,Depression,52.89917486902313
NA,Vegetables,58.01965436336291,AGE_OVERALL,WHT,Depression,63.82161979969921
NA,Vegetables,47.06011102411925,65PLUS,NAA,Depression,51.76612212653118
NA,Vegetables,39.345215332094554,65PLUS,ASN,Depression,43.27973686530401
NA,Vegetables,55.45622188545125,5064,OVERALL,Depression,61.00184407399638
NA,Vegetables,57.27925119505656,AGE_OVERALL,NAA,Depression,63.00717631456222
NA,Vegetables,37.84720927551186,AGE_OVERALL,BLK,Depression,41.63193020306305
NA,Vegetables,44.266307146319726,65PLUS,MALE,Depression,48.6929378609517
NA,Vegetables,65.58488329623532,AGE_OVERALL,NAA,Depression,72.14337162585886
NA,Vegetables,61.06722560540021,5064,OVERALL,Depression,67.17394816594023
NA,Vegetables,33.98492899705841,5064,WHT,Depression,37.383421896764254
NA,Vegetables,42.051965658902255,65PLUS,FEMALE,Depression,46.25716222479248
NA,Vegetables,36.31571373497305,AGE_OVERALL,NAA,Depression,39.94728510847036
NA,Vegetables,56.361648592772134,5064,MALE,Depression,61.99781345204935
NA,Vegetables,54.46033170121811,65PLUS,HIS,Depression,59.906364871339925
NA,Vegetables,56.34228083387475,AGE_OVERALL,WHT,Depression,61.97650891726224
NA,Vegetables,66.18191358638721,5064,BLK,Depression,72.80010494502594
NA,Vegetables,69.81409495764449,65PLUS,FEMALE,Depression,76.79550445340894
NA,Vegetables,46.764840906089795,5064,BLK,Depression,51.441324996698775
NA,Vegetables,48.88681812855132,AGE_OVERALL,HIS,Depression,53.77549994140646
NA,Vegetables,38.30446409394626,5064,WHT,Depression,42.13491050334089
NA,Vegetables,55.21231744962068,65PLUS,NAA,Depression,60.73354919458275
NA,Vegetables,51.90202088771956,65PLUS,NAA,Depression,57.09222297649152
NA,Vegetables,58.53181122977091,65PLUS,NAA,Depression,64.384992352748
NA,Vegetables,59.24844338729257,AGE_OVERALL,WHT,Depression,65.17328772602183
NA,Vegetables,67.63003898368653,5064,NAA,Depression,74.3930428820552
NA,Vegetables,56.378534621531536,65PLUS,MALE,Depression,62.016388083684696
NA,Vegetables,48.25949926656864,AGE_OVERALL,BLK,Depression,53.08544919322551
NA,Vegetables,59.55371071646546,AGE_OVERALL,ASN,Depression,65.50908178811201
NA,Vegetables,56.14450215085088,5064,MALE,Depression,61.758952365935976
NA,Vegetables,58.47193035219222,AGE_OVERALL,WHT,Depression,64.31912338741144
NA,Vegetables,35.000385979607245,AGE_OVERALL,OVERALL,Depression,38.50042457756797
NA,Vegetables,49.559910320112294,65PLUS,BLK,Depression,54.51590135212353
NA,Vegetables,31.625599689219687,5064,HIS,Depression,34.78815965814166
NA,Vegetables,49.56362636377539,AGE_OVERALL,ASN,Depression,54.51998900015293
NA,Vegetables,45.04071746614255,AGE_OVERALL,FEMALE,Depression,49.54478921275681
NA,Vegetables,57.179926541468184,65PLUS,BLK,Depression,62.89791919561501
